id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance,wheelchair,animal,keyword,rate_count,rate
26563922,동네골목길관광코스 문학둘레길,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 세종로 77-9,,126.97381689463504,37.57936688060934,http://place.map.kakao.com/26563922,,unknown,unknown,#걷기좋은 ,1,5.0
24890712,창덕궁 영의사,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.990114553835,37.5792756670671,http://place.map.kakao.com/24890712,,unknown,unknown,,0,0
12898610,창덕궁 양지당,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.990463213089,37.5794775184013,http://place.map.kakao.com/12898610,,unknown,unknown,,0,0
12898606,창덕궁 진설청,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.990001315987,37.5794882921093,http://place.map.kakao.com/12898606,,unknown,unknown,,0,0
26563935,서울도보관광코스 세종마을,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 통인동,,126.97009402152956,37.58072469488611,http://place.map.kakao.com/26563935,,unknown,unknown,#걷기좋은 ,0,0
26563927,서울도보관광코스 경복궁~효자동코스,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 세종로 1-1,,126.97639319906992,37.58045942851329,http://place.map.kakao.com/26563927,,unknown,unknown,#걷기좋은 ,0,0
26563585,인사동삼청동나들길,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 세종로 1-7,,126.97781038508566,37.58119491431154,http://place.map.kakao.com/26563585,,unknown,unknown,#걷기좋은 ,0,0
26558548,동네골목길관광코스 8코스(가회동),"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 화동,,126.98220302721134,37.58117763842169,http://place.map.kakao.com/26558548,,unknown,unknown,#걷기좋은 ,0,0
26563924,동네골목길관광코스 북촌코스,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 가회동,,126.98427240460266,37.58185908346965,http://place.map.kakao.com/26563924,,unknown,unknown,#걷기좋은 ,0,0
26563934,서울도보관광코스 북촌한옥마을,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 가회동,,126.98530039220928,37.58180515634144,http://place.map.kakao.com/26563934,,unknown,unknown,#걷기좋은 ,1,5.0
537985303,창덕궁 요금문,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,,126.989550469752,37.5814307957252,http://place.map.kakao.com/537985303,,unknown,unknown,,0,0
7813428,창덕궁 후원,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.991617688796,37.581827397819,http://place.map.kakao.com/7813428,,unknown,unknown,#나들이 #단풍명소 ,14,4.7
12898413,창덕궁 기오헌,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.99160863133,37.5818310011499,http://place.map.kakao.com/12898413,,unknown,unknown,,0,0
12898512,창덕궁 농산정,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.991613161074,37.5818201895485,http://place.map.kakao.com/12898512,,unknown,unknown,,0,0
12898612,창덕궁 내재실,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.991613159457,37.5818346054461,http://place.map.kakao.com/12898612,,unknown,unknown,,0,0
